n,bins
0.0,15.0
4.250551296503163e-05,15.045
0.0,15.09
0.0,15.135
0.0,15.18
0.0,15.225
0.0,15.27
4.250551296503163e-05,15.315
4.250551296503163e-05,15.36
0.0001275165388950949,15.405
8.501102593006326e-05,15.45
4.250551296503163e-05,15.495
0.0001700220518601198,15.54
0.0001275165388950949,15.585
8.501102593006326e-05,15.63
0.00017002205186012652,15.675
4.250551296503163e-05,15.72
0.00021252756482515817,15.765
0.00021252756482515817,15.81
0.0005525716685454113,15.855
0.0002975385907552214,15.9
0.0002550330777901898,15.945
0.0002975385907552214,15.99
0.0004250551296503331,16.035
0.0006375826944754493,16.08
0.00038254961668526957,16.125
0.00029753859075523317,16.17
0.00042505512965029953,16.215
0.000552571668545433,16.26
0.0005950771815104194,16.305
0.000552571668545433,16.35
0.0008926157722656291,16.395
0.0008926157722656996,16.44
0.001020132311160719,16.485
0.0010201323111607994,16.53
0.000935121285230659,16.575
0.0010626378241258329,16.62
0.0015301984667410783,16.665
0.0012751653889509992,16.71
0.0017002205186011981,16.755
0.0024228142390068986,16.8
0.0022527921871465873,16.845
0.0032304189853425316,16.89
0.0024228142390067074,16.935
0.0032304189853425316,16.98
0.0030178914205171267,17.025
0.0035704630890627982,17.07
0.004590595400223235,17.115
0.00450558437429353,17.16
0.0048881339909784445,17.205
0.0054832111724888635,17.25
0.00552571668545433,17.295
0.005865760789174597,17.34
0.006460837970684552,17.384999999999998
0.0071834316910900625,17.43
0.007480970281845863,17.475
0.008671124644866109,17.52
0.00986127900788773,17.565
0.010498861702362399,17.61
0.011518994013524027,17.655
0.012581631837648866,17.7
0.013601764148810659,17.745
0.014961940563690544,17.79
0.01742726031566366,17.835
0.01904246980833342,17.88
0.02065767930100619,17.925
0.022272888793675696,17.97
0.02448317546785919,18.015
0.027586077914304438,18.06
0.02966884804959325,18.105
0.03209166228859761,18.15
0.03578964191655805,18.195
0.03948762154451283,18.24
0.04212296334834801,18.285
0.04522586579479187,18.33
0.047478657981938455,18.375
0.05211175889513084,18.42
0.05695738737314463,18.465
0.0662660947124817,18.509999999999998
0.06533097342725104,18.555
0.07238688857945172,18.6
0.07531976897403307,18.645
0.08628619131901762,18.69
0.08943159927842304,18.735
0.09495731596388442,18.78
0.10511613356251907,18.825
0.10979173998868104,18.87
0.12071565682068508,18.915
0.126326384532079,18.96
0.13214963980827812,19.005
0.14341360074402237,19.05
0.14736661344975885,19.095
0.16075585003375598,19.14
0.16564398402472172,19.185
0.17036209596385352,19.23
0.17474016379923815,19.275
0.17899071509574113,19.32
0.1780130882975595,19.365000000000002
0.17899071509575526,19.41
0.17941577022539143,19.455
0.17937326471242643,19.5
0.1796708033031958,19.545
0.18256117818481807,19.59
0.18668421294241155,19.634999999999998
0.1882994224350827,19.68
0.19799067939112516,19.725
0.19777815182629999,19.77
0.2055991662118499,19.814999999999998
0.21478035701229634,19.86
0.22659688961659258,19.905
0.23339777169097947,19.95
0.23654317965041038,19.995
0.2493373390528657,20.04
0.2596661787033885,20.085
0.27203528297619173,20.13
0.2817690454452058,20.175
0.29086522521969993,20.22
0.2980911624237786,20.265
0.30982268400210333,20.31
0.3086750351520719,20.355
0.3183237865951093,20.4
0.3326481444643244,20.445
0.3212991725026868,20.490000000000002
0.3275474829085467,20.535
0.3291201868882269,20.58
0.3335407602365901,20.625
0.34420964399083975,20.67
0.34680248028170674,20.715
0.3524132079930633,20.759999999999998
0.35836397980816753,20.805
0.36261453110469916,20.85
0.3699254793346849,20.895
0.3719232384440121,20.939999999999998
0.3799567803944028,20.985
0.3855250025928521,21.03
0.3850574419502063,21.075
0.38952052081156524,21.12
0.38620509080026216,21.165
0.3906256641486561,21.21
0.39045564209676514,21.255
0.3954287871137049,21.3
0.398701711611981,21.345
0.3887979270911597,21.39
0.3927934453098418,21.435
0.3836972655353557,21.48
0.38314469386678,21.525
0.36873532497166395,21.57
0.3664825327844883,21.615
0.36261453110469916,21.66
0.349012766955861,21.705
0.3368561902478624,21.75
0.321554205580477,21.795
0.31258554234485497,21.84
0.29294799535498645,21.884999999999998
0.28516948648238594,21.93
0.2586460463922277,21.975
0.23539553080035447,22.02
0.18434640972933491,22.064999999999998
0.15323237423893296,22.11
0.12628387901911395,22.155
0.09967542790299525,22.2
0.08348082746332541,22.245
0.06554350099207619,22.29
0.0518142203043756,22.335
0.04501333822996672,22.38
0.03268673947011061,22.425
0.02690598970686396,22.47
0.01976506352874049,22.515
0.0175972823675224,22.56
0.013431742096950527,22.605
0.011306466448697967,22.65
0.009818773494922694,22.695
0.008033541950390662,22.74
0.006758376561440296,22.785
0.006375826944754493,22.83
0.0062058048928943736,22.875
0.004463078861328497,22.92
0.004335562322433398,22.965
0.003612968602027546,23.009999999999998
0.0031454079594122166,23.055
0.0025503307779019984,23.1
0.0024653197519719323,23.145
0.0017852315445312582,23.189999999999998
0.0019977591093564076,23.235
0.0013176709019160327,23.28
0.001912748083426499,23.325
0.000977626798195689,23.369999999999997
0.0017002205186011981,23.415
0.0010201323111607994,23.46
0.001105143337090866,23.505
0.0013176709019159286,23.549999999999997
0.0008926157722656291,23.595
0.0006800882074404792,23.64
0.0011476488500558994,23.685000000000002
0.0006375826944754996,23.73
0.0006800882074404792,23.775
0.0008926157722656291,23.82
0.0007225937204055663,23.865000000000002
0.0005100661555803997,23.91
0.0008926157722656291,23.955
0.0,24.0
